person1	0	279	665	794	
person2	1690	644	229	431	
person3	623	380	1030	699	
person1	0	280	667	791	
person2	1692	641	227	433	
person3	625	381	1030	698	
person1	0	280	667	790	
person2	1694	641	225	435	
person3	627	372	1024	707	
person1	0	281	670	790	
person2	1692	638	227	438	
person3	627	386	1025	691	
person1	0	283	668	786	
person2	1693	637	226	442	
person3	623	381	1034	698	
person1	0	280	670	790	
person2	1694	635	225	444	
person3	635	377	1010	702	
person1	0	275	665	795	
person2	1693	621	226	458	
person3	622	387	1040	689	
person1	0	274	665	801	
person2	1696	620	223	459	
person3	625	374	1026	705	
person1	0	270	669	807	
person2	1699	613	220	466	
person3	628	375	1020	704	
person1	0	265	666	812	
person2	621	375	1037	702	
person3	1693	607	226	454	
person1	0	265	666	813	
person2	637	378	1003	701	
person3	1733	589	186	477	
person1	0	270	666	808	
person2	628	377	1019	702	
person1	0	267	663	812	
person2	627	374	1025	705	
person1	0	268	669	810	
person2	627	385	1024	689	
person1	0	266	665	813	
person2	633	382	1010	697	
person1	0	264	663	815	
person2	617	378	1041	701	
person1	0	267	662	812	
person2	634	378	1007	701	
person1	0	264	664	815	
person2	629	379	1023	700	
person3	1697	617	222	433	
person1	0	263	666	816	
person2	623	377	1031	702	
person1	0	266	665	813	
person2	629	373	1020	706	
person1	0	262	664	817	
person2	633	374	1012	705	
person3	1736	612	183	467	
person1	0	269	664	809	
person2	630	378	1019	701	
person3	1697	609	222	448	
person1	0	265	661	814	
person2	638	377	1006	702	
person3	1691	610	228	445	
person1	0	258	660	821	
person2	1694	610	225	448	
person3	622	378	1038	701	
person1	0	266	662	811	
person2	632	376	1017	703	
person3	1699	604	220	458	
person1	0	270	664	805	
person2	631	378	1021	701	
person3	1702	627	217	451	
person1	0	268	665	809	
person2	1701	626	218	453	
person3	630	381	1029	698	
person1	0	269	664	808	
person2	1698	625	221	454	
person3	626	377	1033	702	
person1	0	263	666	816	
person2	1698	625	221	454	
person3	631	379	1023	700	
person1	0	267	665	812	
person2	1698	619	221	460	
person3	621	380	1043	696	
person1	0	263	666	816	
person2	1698	622	221	457	
person3	631	375	1026	703	
person1	0	266	665	813	
person2	1696	624	223	455	
person3	638	376	1010	701	
person1	0	268	669	811	
person2	1697	619	222	460	
person3	632	377	1017	702	
person1	0	273	673	806	
person2	1697	621	222	458	
person3	624	376	1031	702	
person1	0	266	670	813	
person2	1695	618	224	461	
person3	626	373	1029	706	
person1	0	268	670	811	
person2	1694	619	225	460	
person3	633	366	1016	713	
person1	0	272	670	807	
person2	1693	618	226	461	
person3	626	378	1029	701	
person1	0	267	667	812	
person2	1695	602	224	463	
person3	627	372	1030	705	
person1	0	268	662	811	
person2	1696	615	223	464	
person3	631	378	1021	701	
person1	0	267	665	812	
person2	1697	618	222	461	
person3	622	380	1042	692	
person1	0	265	666	814	
person2	1697	619	222	460	
person3	618	374	1048	705	
person1	0	268	664	811	
person2	1697	622	222	457	
person3	621	375	1042	700	
person1	0	267	663	812	
person2	622	382	1041	690	
person3	1698	621	221	458	
person1	0	267	663	812	
person2	1696	627	223	452	
person3	628	383	1030	685	
person1	0	269	664	808	
person2	1699	622	220	457	
person3	622	380	1041	685	
person1	0	271	664	808	
person2	1697	622	222	457	
person3	613	384	1057	677	
person1	0	273	668	806	
person2	1695	620	224	459	
person3	612	381	1058	683	
person1	0	273	665	806	
person2	1696	617	223	462	
person3	609	365	1068	714	
person1	0	273	666	806	
person2	621	361	1039	718	
person3	1697	621	222	458	
person1	0	270	663	809	
person2	624	370	1034	709	
person3	1699	624	220	455	
person1	0	275	668	804	
person2	624	368	1032	711	
person3	1695	620	224	459	
person1	0	272	664	807	
person2	623	361	1037	718	
person3	1697	622	222	457	
person1	0	273	662	806	
person2	625	378	1032	697	
person3	1697	620	222	459	
person1	0	266	659	813	
person2	622	363	1035	716	
person3	1696	603	223	461	
person1	0	268	660	811	
person2	618	372	1043	705	
person3	1697	602	222	462	
person1	0	268	662	811	
person2	619	384	1042	683	
person3	1698	582	221	494	
person1	0	266	661	813	
person2	614	371	1054	708	
person1	0	266	664	813	
person2	606	376	1069	700	
person1	0	266	659	813	
person2	613	367	1055	712	
person3	1697	595	222	470	
person1	0	270	662	809	
person2	613	376	1052	703	
person1	0	270	664	809	
person2	610	368	1058	711	
person1	0	268	655	811	
person2	612	375	1055	704	
person1	0	268	658	811	
person2	607	377	1063	700	
person1	0	272	662	807	
person2	613	381	1052	693	
person3	1697	591	222	476	
person1	0	286	664	789	
person2	624	374	1033	700	
person1	0	282	664	795	
person2	627	376	1022	703	
person1	0	293	663	778	
person2	626	379	1028	693	
person1	0	273	653	806	
person2	608	393	1058	675	
person1	0	267	670	812	
person2	616	391	1045	675	
person1	3	193	545	886	
person2	604	405	1067	665	
person1	8	163	521	916	
person2	599	395	1075	677	
person3	482	829	165	205	
person1	13	112	456	967	
person2	606	398	1063	671	
person3	448	829	186	192	
person1	7	85	424	982	
person2	611	389	1051	690	
person3	476	828	174	197	
person1	11	77	404	996	
person2	600	397	1073	674	
person3	477	826	174	198	
person1	11	72	407	1002	
person2	597	396	1080	674	
person3	477	827	174	194	
person1	7	66	351	1012	
person2	602	393	1070	677	
person1	8	74	341	997	
person2	600	399	1073	674	
person3	475	826	178	204	
person1	9	91	332	968	
person2	610	392	1051	683	
person3	476	828	173	194	
person1	10	88	332	973	
person2	599	387	1079	687	
person1	13	145	319	934	
person2	598	390	1078	687	
person3	477	828	173	195	
person1	12	130	322	949	
person2	609	384	1058	695	
person1	12	114	325	965	
person2	595	394	1086	675	
person1	10	127	329	952	
person2	598	393	1079	678	
person3	1699	574	220	505	
person4	475	827	176	198	
person1	9	119	330	960	
person2	599	378	1076	701	
person3	1698	582	221	493	
person4	476	828	174	196	
person1	5	286	721	792	
person2	1675	632	244	445	
person3	780	566	760	509	
person1	7	284	719	794	
person2	1676	633	243	444	
person3	774	565	768	512	
person1	5	284	723	793	
person2	1677	629	242	447	
person3	772	567	769	508	
person1	5	281	721	798	
person2	1676	631	243	445	
person3	777	565	762	511	
person1	3	284	724	795	
person2	1673	632	246	447	
person3	768	566	768	513	
person1	6	281	717	798	
person2	1675	633	244	441	
person3	774	568	759	508	
person1	4	284	727	791	
person2	1671	637	248	435	
person3	774	562	767	517	
person1	7	282	722	796	
person2	1674	636	245	438	
person3	776	564	757	512	
person1	7	280	721	799	
person2	1676	632	243	444	
person3	776	562	757	516	
person1	8	274	730	805	
person2	1673	633	246	446	
person3	777	563	760	513	
person1	7	277	731	802	
person2	1673	634	246	443	
person3	779	562	756	517	
person1	13	271	723	808	
person2	1676	628	243	451	
person3	783	563	740	516	
person1	8	277	729	802	
person2	1672	634	247	441	
person3	781	564	751	515	
person1	8	279	725	800	
person2	1673	633	246	443	
person3	789	562	739	517	
person1	6	280	730	799	
person2	1677	630	242	449	
person3	781	566	750	512	
person1	5	283	728	796	
person2	1677	633	242	444	
person3	777	565	757	514	
person1	2	286	730	789	
person2	1676	633	243	444	
person3	776	561	762	518	
person1	4	284	723	792	
person2	1678	631	241	448	
person3	780	565	753	514	
person1	1	283	732	796	
person2	1676	632	243	444	
person3	776	571	756	508	
person1	3	285	725	793	
person2	1678	631	241	442	
person3	777	564	758	515	
person1	2	287	725	790	
person2	1670	609	249	448	
person3	777	564	758	515	
person1	0	285	726	792	
person2	1663	623	256	417	
person3	781	565	751	514	
person1	2	287	728	788	
person2	1672	623	247	419	
person3	777	563	753	516	
person1	2	284	729	794	
person2	1672	624	247	419	
person3	779	568	759	511	
person1	2	281	728	798	
person2	1674	630	245	446	
person3	775	568	758	511	
person1	5	281	725	798	
person2	1677	629	242	450	
person3	773	568	765	511	
person1	4	282	727	797	
person2	1675	628	244	451	
person3	780	566	753	513	
person1	4	279	725	800	
person2	1669	629	250	450	
person3	779	567	749	512	
person1	5	283	724	796	
person2	1669	627	249	452	
person3	783	567	745	512	
person1	9	280	717	799	
person2	1678	629	241	450	
person3	776	568	757	511	
person1	10	281	716	798	
person2	1679	628	240	451	
person3	769	568	772	511	
person1	1259	262	660	798	
person2	763	690	646	388	
person3	203	801	228	272	
person1	1261	253	658	814	
person2	766	689	641	390	
person3	206	800	223	274	
person1	1261	248	658	817	
person2	760	690	654	388	
person3	201	801	227	272	
person1	1259	253	660	814	
person2	751	690	667	388	
person3	202	803	229	270	
person1	1262	258	657	812	
person2	768	683	636	396	
person3	199	803	231	269	
person1	1258	254	661	808	
person2	758	686	659	393	
person3	203	802	225	270	
person1	1257	255	662	813	
person2	167	783	254	293	
person3	750	685	669	394	
person1	1259	250	660	813	
person2	163	779	259	294	
person3	765	687	644	392	
person1	1257	253	662	815	
person2	162	776	261	299	
person3	761	688	648	391	
person1	1259	249	660	816	
person2	165	776	256	296	
person3	770	691	635	386	
person1	1257	254	662	810	
person2	161	780	270	299	
person3	759	691	654	386	
person1	1260	252	659	811	
person2	172	791	280	286	
person3	765	692	644	385	
person1	1260	252	659	810	
person2	161	793	267	285	
person3	771	689	632	388	
person1	1260	254	659	810	
person2	158	800	271	279	
person3	771	689	630	389	
person1	1262	250	657	815	
person2	158	799	273	280	
person3	765	687	635	392	
person1	1257	254	662	813	
person2	158	800	276	278	
person3	780	694	606	381	
person1	1256	255	663	808	
person2	159	796	274	282	
person3	775	695	606	379	
person1	1257	252	662	808	
person2	167	803	286	269	
person3	772	690	610	386	
person1	1257	253	662	806	
person2	159	787	273	287	
person3	779	693	598	381	
person1	1254	264	665	797	
person2	163	779	264	297	
person3	777	699	593	373	
person1	1259	244	660	823	
person2	161	777	269	299	
person3	778	701	585	369	
person1	1254	249	665	822	
person2	161	777	268	297	
person3	780	700	575	370	
person1	1247	256	672	816	
person2	159	777	271	297	
person3	778	695	582	379	
person1	1235	284	684	776	
person2	155	784	316	287	
person3	772	697	584	372	
person1	1211	301	708	756	
person2	152	781	288	291	
person3	755	695	590	374	
person1	1183	300	736	757	
person2	157	777	270	301	
person3	766	690	551	382	
person1	1174	304	745	754	
person2	154	781	269	294	
person3	719	681	543	398	
person1	1222	325	691	754	
person2	153	780	270	293	
person3	708	676	521	403	
person1	1214	354	705	725	
person2	148	774	278	303	
person3	671	660	528	419	
person1	1209	373	710	706	
person2	133	774	314	304	
person3	611	658	539	418	
person1	1223	389	696	689	
person2	136	774	297	298	
person3	598	653	530	426	
person1	1240	399	679	680	
person2	130	780	299	290	
person3	596	650	523	427	
person1	365	0	1442	1079	
person1	370	0	1435	1079	
person1	374	0	1428	1079	
person1	367	0	1441	1079	
person1	363	0	1447	1079	
person1	366	0	1436	1079	
person1	361	0	1445	1079	
person1	361	0	1444	1079	
person1	363	0	1442	1079	
person1	368	0	1440	1079	
